onetsoc_code,alternate_title,short_title,sources
11-1011.00,Road Commissioner,,"04,06"
11-1011.00,Safety Council Director,,08
11-1011.00,State Assessed Properties Director,,08
11-1011.00,Tax Commissioner,,"04,06"
11-1011.00,Unemployment Insurance Director,,08
11-1011.00,Water Commissioner,,"04,06"
11-1011.00,Welfare Director,,08
11-1011.03,Chief Environmental Commitment Officer (CECO),CECO,08
11-1011.03,Chief Green Officer (CGO),CGO,08
11-1011.03,Chief Sustainability Officer (CSO),CSO,02
11-1011.03,Climate Change and Sustainability Manager,,10
11-1011.03,Corporate Sustainability Manager,,10
11-1011.03,Corporate Sustainability Process Manager,,02
11-1011.03,CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),CSR and Sustainability VP,02
11-1011.03,Energy and Sustainability Manager,,"02,10"
11-1011.03,Energy Sustainability Manager,,10
11-1011.03,"Energy, Sustainability, and Infrastructure Manager",,10
11-1011.03,Environmental and Sustainability Manager,,10
11-1011.03,Environmental Sustainability Manager,,10
11-1011.03,"ESG Manager (Environmental, Social, and Corporate Governance Manager)",ESG Manager,10
11-1011.03,Global Sustainability Manager,,10
11-1011.03,Sustainability Chancellor,,02
11-1011.03,Sustainability Chief,,02
11-1011.03,Sustainability Director,,"02,08"
11-1011.03,Sustainability Energy Manager,,10
11-1011.03,Sustainability Initiatives Vice President (Sustainability Initiatives VP),Sustainability Initiatives VP,02
11-1011.03,Sustainability Manager,,"02,08,10"
11-1011.03,Sustainability Programs Director,,02
11-1011.03,Sustainability Reports Director,,10
11-1011.03,Sustainability Research and Advocacy Director,,08
11-1011.03,Sustainability Strategy Manager,,10
11-1011.03,Sustainable Design Director,,"02,08"
11-1021.00,Area Manager,,"02,10"
11-1021.00,Business Coordinator,,09
11-1021.00,Business Manager,,"02,10"
11-1021.00,Center Manager,,02
11-1021.00,Chief Administrative Officer (CAO),CAO,09
11-1021.00,Corporate Manager,,09
11-1021.00,Department Manager,,02
11-1021.00,Department Store General Manager (Dept Store GM),Dept Store GM,04
11-1021.00,Department Store Manager (Dept Store Manager),Dept Store Manager,"04,06,08"
11-1021.00,District Commercial Superintendent,,"04,06"
11-1021.00,District Manager,,"01,02,04,06,10"
11-1021.00,District Plant Superintendent,,"04,06"
11-1021.00,District Traffic Chief,,"04,06"
11-1021.00,District Wire Chief,,"04,06"
11-1021.00,Division Toll Wire Chief,,"04,06"
11-1021.00,Division Traffic Superintendent,,"04,06"
11-1021.00,Drilling and Production Superintendent,,"04,06"
11-1021.00,Electrical Superintendent,,"04,06"
11-1021.00,Equipment Maintenance Superintendent,,"04,06"
11-1021.00,Field Party Manager,,"04,06"
11-1021.00,Fish and Game Club Manager,,08
11-1021.00,General Manager (GM),GM,"02,04,10"
11-1021.00,General Superintendent,,"04,06"
11-1021.00,Golf and Operations Manager,,08
11-1021.00,Golf Course Manager,,09
11-1021.00,Gym Manager,,09
11-1021.00,Installation Superintendent,,04
11-1021.00,IO Manager (Industrial Organization Manager),IO Manager,"04,06,08"
11-1021.00,Laundry Superintendent,,"04,06"
11-1021.00,Line Construction Superintendent,,"04,06"
11-1021.00,Manufacturing Operations Manager,,"02,04,09"
11-1021.00,Mine Superintendent,,"04,06"
11-1021.00,Movie Theater Manager,,08
11-1021.00,Newspaper Manager,,09
11-1021.00,Nonprofit Manager,,09
11-1021.00,Office Manager,,02
11-1021.00,Offshoring Manager,,08
11-1021.00,Operational Risk Manager,,04
11-1021.00,Operations Director,,"02,10"
11-1021.00,Operations General Manager (Operations GM),Operations GM,02
11-1021.00,Operations Manager,,"02,04,10"
11-1021.00,Operations Supervisor,,"04,06,10"
11-1021.00,Park Superintendent,,"04,06"
11-1021.00,Parks and Recreation Manager,,09
11-1021.00,Plant Superintendent,,02
11-1021.00,Print Production Manager,,08
11-1021.00,Printing Manager,,09
11-1021.00,Prison Warden,,09
11-1021.00,Program Director,,03
11-1021.00,Program Manager,,08
11-1021.00,Public Works Director,,09
11-1021.00,Publication Director,,"04,06"
11-1021.00,Refinery Superintendent,,"04,06"
11-1021.00,Revenue Director,,"04,06"
11-1021.00,Revenue Manager,,09
11-1021.00,Roads Superintendent,,"04,06"
11-1021.00,Shelter Director,,08
11-1021.00,Shop Superintendent,,06
11-1021.00,Site Operations Manager,,"02,09"
11-1021.00,Solid Waste Manager,,08
11-1021.00,Sports Team Manager,,09
11-1021.00,Store Director,,"02,09"
11-1021.00,Store Manager,,"01,02,04"
11-1021.00,Street Commissioner,,"04,06"
11-1021.00,Street Superintendent,,"04,06"
11-1021.00,Substation Superintendent,,"04,06"
11-1021.00,Theatre Manager,,08
11-1021.00,Venue Manager,,08
11-1021.00,Water and Sewer Systems Supervisor,,"04,06"
11-1021.00,Water Superintendent,,"04,06"
11-1021.00,Zoo Director,,"04,06"
11-1031.00,Alderman,,"04,06"
11-1031.00,Assembly Member,,"04,06"
11-1031.00,Assembly Person,,04
11-1031.00,Assemblyman,,06
11-1031.00,Assemblywoman,,06
11-1031.00,City Alderman,,"04,06"
11-1031.00,City Council Member,,"04,06"
11-1031.00,City Councilman,,"04,06"
11-1031.00,Congress Member,,"04,06,07"
11-1031.00,Congressional Representative,,"04,06"
11-1031.00,Congressman,,"04,06"
11-1031.00,Congresswoman,,01
11-1031.00,Council Member,,"04,06"
11-1031.00,Councilman,,"04,06"
11-1031.00,Councilor,,"04,09"
11-1031.00,Councilperson,,04
11-1031.00,Councilwoman,,01
11-1031.00,Delegate,,"04,06"
11-1031.00,Legislator,,04
11-1031.00,Representative,,"04,06"
11-1031.00,Selectman,,"04,06"
11-1031.00,Senator,,"04,06"
11-1031.00,Tribal Council Member,,"04,06"
11-1031.00,Tribal Delegate,,"04,06"
11-1031.00,U.S. Representative (United States Representative),U.S. Representative,"04,06"
11-1031.00,U.S. Senator (United States Senator),U.S. Senator,"04,06"
11-2011.00,Account Director,,08
11-2011.00,Account Executive,,02
11-2011.00,Account Manager,,08
11-2011.00,Account Specialist,,08
11-2011.00,Advertising Account Executive (Ad Account Executive),Ad Account Executive,08
11-2011.00,Advertising Account Manager (Ad Account Manager),Ad Account Manager,08
11-2011.00,Advertising Agency Manager (Ad Agency Manager),Ad Agency Manager,08
11-2011.00,Advertising Campaign Manager (Ad Campaign Manager),Ad Campaign Manager,08
11-2011.00,Advertising Coordinator (Ad Coordinator),Ad Coordinator,08
11-2011.00,Advertising Director (Ad Director),Ad Director,"04,08,10"
11-2011.00,Advertising Executive (Ad Executive),Ad Executive,"04,08"
11-2011.00,Advertising Manager (Ad Manager),Ad Manager,"02,04,10"
11-2011.00,Advertising Operations Manager (Ad Operations Manager),Ad Operations Manager,"08,10"
11-2011.00,Advertising Sales Manager (Ad Sales Manager),Ad Sales Manager,02
11-2011.00,Advertising VP (Advertising Vice President),Advertising VP,04
11-2011.00,Brand Manager,,08
11-2011.00,Campaign Director,,08
11-2011.00,Campaign Manager,,08
11-2011.00,Campaign Program Manager,,10
11-2011.00,Circulation Manager,,08
11-2011.00,Classified Advertising Manager (Classified Ad Manager),Classified Ad Manager,"02,04"
11-2011.00,Client Services Director,,08
11-2011.00,Communications Director,,02
11-2011.00,Communications Manager,,02
11-2011.00,Creative Services Director,,02
11-2011.00,Digital Advertising Director,,10
11-2011.00,Digital Advertising Manager (Digital Ad Manager),Digital Ad Manager,"08,10"
11-2011.00,Digital Marketing Coordinator,,10
11-2011.00,Marketing and Promotions Manager,,02
11-2011.00,Marketing Coordinator,,08
11-2011.00,Marketing Director,,08
11-2011.00,Marketing Manager,,08
11-2011.00,Media Director,,08
11-2011.00,Media Promoter,,08
11-2011.00,Online Advertising Director,,08
11-2011.00,Print Traffic Manager,,08
11-2011.00,Promotions Director,,"02,04"
11-2011.00,Promotions Executive Producer (Promos Executive Producer),Promos Executive Producer,08
11-2011.00,Promotions Manager,,"02,04"
11-2011.00,Promotions VP (Promotions Vice President),Promotions VP,"04,08"
11-2011.00,Sales Promotion Manager,,08
11-2021.00,Account Supervisor,,02
11-2021.00,Brand Manager,,"02,08"
11-2021.00,Business Developer,,09
11-2021.00,Business Development Director,,"02,09"
11-2021.00,Business Development Manager,,02
11-2021.00,Category Manager,,"02,09"
11-2021.00,Channel Manager,,09
11-2021.00,Commercial Director,,09
11-2021.00,Commercial Lines Manager,,02
11-2021.00,Digital Marketing Manager,,10
11-2021.00,Digital Product Manager,,10
11-2021.00,Fashion Coordinator,,"04,06,08"
11-2021.00,Fashion Marketer,,09
11-2021.00,Internet Marketing Manager,,"04,09"
11-2021.00,Market Analysis Director,,09
11-2021.00,Market Development Executive,,02
11-2021.00,Market Research Manager,,09
11-2021.00,Marketing Administrator,,"04,09"
11-2021.00,Marketing Communications Manager,,"02,08"
11-2021.00,Marketing Coordinator,,02
11-2021.00,Marketing Director,,"02,04,06,10"
11-2021.00,Marketing Executive,,08
11-2021.00,Marketing Manager,,"02,04,08,10"
11-2021.00,Marketing Operations Director,,"02,08"
11-2021.00,Marketing Product Manager,,10
11-2021.00,Marketing Sales Supervisor,,09
11-2021.00,Media Marketing Director,,08
11-2021.00,Membership Director,,08
11-2021.00,Pricing Manager,,09
11-2021.00,Product Line Manager (PLM),PLM,09
11-2021.00,Product Management Director,,10
11-2021.00,Product Manager,,"02,10"
11-2021.00,Product Marketing Manager,,"02,10"
11-2021.00,Sales and Marketing Director,,"02,09"
11-2021.00,Sales and Marketing Manager,,08
11-2021.00,Sales and Marketing Vice President (Sales and Marketing VP),Sales and Marketing VP,02
11-2021.00,Sales Marketing Director,,09
11-2021.00,Sustainable Products Marketing Manager,,08
11-2021.00,Technical Product Manager,,10
11-2021.00,World Trade and Maritime Division Manager,,08
11-2022.00,Account Manager,,10
11-2022.00,Area Sales Manager,,10
11-2022.00,Artist Relationship Manager,,09
11-2022.00,Business Development Director,,09
11-2022.00,Business Development Executive,,09
11-2022.00,Business Development Manager,,10
11-2022.00,Channel Manager,,09
11-2022.00,Client Relationship Manager,,09
11-2022.00,Commercial Director,,09
11-2022.00,Dealership Manager,,"04,06"
11-2022.00,Department Store Manager,,"04,06"
11-2022.00,District Manager,,"04,06,10"
11-2022.00,District Sales Manager,,"02,04,10"
11-2022.00,Division Manager,,"04,06"
11-2022.00,E-Commerce Director,,"01,04"
11-2022.00,Export Manager,,"04,06,08"
11-2022.00,Global Account Manager (GAM),GAM,09
11-2022.00,Hotel Sales Manager,,08
11-2022.00,Import Export Manager,,09
11-2022.00,Inside Sales Manager,,09
11-2022.00,Marketing Sales Supervisor,,09
11-2022.00,National Account Manager,,"02,10"
11-2022.00,National Sales Manager,,02
11-2022.00,Professional Equipment Sales and Service Manager,,08
11-2022.00,Regional Director,,10
11-2022.00,Regional Manager,,"01,10"
11-2022.00,Regional Sales Director,,10
11-2022.00,Regional Sales Manager,,"02,04,06,10"
11-2022.00,Retail Chain Store Area Supervisor,,08
11-2022.00,Retail District Manager,,09
11-2022.00,Sales Account Manager,,"04,09"
11-2022.00,Sales Administrator,,08
11-2022.00,Sales and Marketing Director,,09
11-2022.00,Sales and Marketing Manager,,08
11-2022.00,Sales and Marketing Vice President (Sales and Marketing VP),Sales and Marketing VP,02
11-2022.00,Sales Coordinator,,"04,06"
11-2022.00,Sales Director,,"02,04,06,10"
11-2022.00,Sales Manager,,"02,10"
11-2022.00,Sales Promotion Manager,,09
11-2022.00,Sales Supervisor,,"02,04"
11-2022.00,Sales Vice President (Sales VP),Sales VP,"02,09,10"
11-2022.00,Territory Manager,,"02,10"
11-2022.00,Territory Sales Manager,,"04,09,10"
11-2022.00,Utility Sales and Service Manager,,08
11-2022.00,Vehicle Leasing and Rental Manager,,08
11-2022.00,Zone Manager,,01
11-2032.00,Business Development Director,,08
11-2032.00,Campaign Manager,,08
11-2032.00,Communications Director,,02
11-2032.00,Communications Manager,,"02,04"
11-2032.00,Community Manager,,08
11-2032.00,Community Relations Director,,02
11-2032.00,Customer Service Manager,,08
11-2032.00,Development Director,,02
11-2032.00,Information Director,,08
11-2032.00,Marketing and Communications Manager,,10
11-2032.00,Marketing Communications Manager,,08
11-2032.00,Public Affairs Director,,"02,04"
11-2032.00,Public Information Director,,"04,08"
11-2032.00,Public Information Relations Manager,,"04,08"
11-2032.00,Public Relations Director (PR Director),PR Director,"02,04"
11-2032.00,Public Relations Manager (PR Manager),PR Manager,"02,04"
11-2032.00,Public Relations Supervisor (PR Supervisor),PR Supervisor,08
11-2032.00,Publicity Director,,"04,08"
11-2032.00,Publicity Manager,,08
11-2032.00,Relationship Manager,,08
11-2032.00,University Relations Director,,08
11-2033.00,Account Manager,,08
11-2033.00,Account Supervisor,,02
11-2033.00,Annual Giving Director,,02
11-2033.00,Business Development Director,,08
11-2033.00,Campaign Manager,,08
11-2033.00,Canvass Director,,10
11-2033.00,Community Manager,,08
11-2033.00,Development Director,,02
11-2033.00,Donor Relations Manager,,04
11-2033.00,Funding Coordinator,,04
11-2033.00,Fundraising and Marketing Director,,10
11-2033.00,Fundraising Campaign Manager,,10
11-2033.00,Fundraising Director,,"04,08"
11-2033.00,Fundraising Events Manager,,10
11-2033.00,Fundraising Manager,,08
11-2033.00,Funds Development Director,,08
11-2033.00,Major Gifts Officer (MGO),MGO,08
11-2033.00,Underwriter Solicitation Director,,08
11-2033.00,University Relations Director,,08
11-3012.00,Administrative Coordinator,,02
11-3012.00,Administrative Director,,02
11-3012.00,Administrative Manager,,02
11-3012.00,Administrative Officer,,02
11-3012.00,Administrative Services Manager,,08
11-3012.00,Administrator,,02
11-3012.00,Business Administrator,,02
11-3012.00,Business Coordinator,,08
11-3012.00,Business Manager,,02
11-3012.00,Business Office Director,,10
11-3012.00,Business Office Manager,,"04,08"
11-3012.00,Business Unit Manager,,"04,08"
11-3012.00,Operations Administrator,,08
11-3012.00,Records and Information Manager,,"04,08"
11-3012.00,Records Management Director,,"04,08"
11-3012.00,Service Director,,08
11-3013.00,Building Maintenance Superintendent,,02
11-3013.00,Building Manager,,08
11-3013.00,Building Services Supervisor,,02
11-3013.00,Conference Center Manager,,04
11-3013.00,Facilities Coordinator,,"02,08"
11-3013.00,Facilities Director,,"02,08"
11-3013.00,Facilities Electrical Engineer,,10
11-3013.00,Facilities Engineer,,"02,10"
11-3013.00,Facilities Maintenance Manager,,"02,10"
11-3013.00,Facilities Manager,,02
11-3013.00,Facilities Operations Director (Facilities Ops Director),Facilities Ops Director,10
11-3013.00,Facilities Operations Manager (Facilities Ops Manager),Facilities Ops Manager,02
11-3013.00,Facilities Operations Specialist (Facilities Ops Specialist),Facilities Ops Specialist,02
11-3013.00,Facilities Project Manager,,10
11-3013.00,Facilities Specialist,,10
11-3013.00,Industrial Production Supervisor,,08
11-3013.00,Maintenance Manager,,08
11-3013.00,Maintenance Superintendent,,"02,08"
11-3013.00,Operations Administrator (Ops Administrator),Ops Administrator,08
11-3013.00,Property Disposal Manager,,08
11-3013.00,Property Disposal Officer,,08
11-3013.00,Property Utilization Manager,,08
11-3013.00,Regional Facilities Manager,,10
11-3013.00,Space Officer,,08
11-3013.00,Stadium Manager,,04
11-3013.00,Unclaimed Property Officer,,08
11-3013.00,University Housing Director,,04
11-3013.01,Armed Security Supervisor,,10
11-3013.01,Chief Security Officer (CSO),CSO,08
11-3013.01,Corporate Physical Security Supervisor,,02
11-3013.01,Corporate Security Director,,08
11-3013.01,Corporate Security Manager,,02
11-3013.01,Enterprise Services Manager,,08
11-3013.01,Internal Security Manager,,08
11-3013.01,Museum Security Chief,,08
11-3013.01,Physical Security Manager,,08
11-3013.01,Safety Manager,,08
11-3013.01,Safety System Support Manager,,08
11-3013.01,Security Director,,02
11-3013.01,Security Field Supervisor,,10
11-3013.01,Security Guard Supervisor,,10
11-3013.01,Security Infrastructure Manager,,08
11-3013.01,Security Management Director,,08
11-3013.01,Security Manager,,02
11-3013.01,Security Officer Site Supervisor,,10
11-3013.01,Security Officer Supervisor,,10
11-3013.01,Security Operations Manager,,08
11-3013.01,Security Program Manager,,10
11-3013.01,Security Project Manager,,10
11-3013.01,Security Services Manager,,08
11-3013.01,Security Shift Supervisor,,10
11-3013.01,Security Site Supervisor,,10
11-3013.01,Security Supervisor,,08
11-3021.00,Application Development Director,,"02,04"
11-3021.00,Chief Information Security Officer (CISO),CISO,01
11-3021.00,Computer and Information Systems Manager,,03
11-3021.00,Computer Operations Manager,,"01,04,06,07,08"
11-3021.00,Computer Programming Manager,,"04,06,07"
11-3021.00,Computer Security Manager,,04
11-3021.00,Computer Systems Information Director,,"04,06,07"
11-3021.00,Computing Services Director,,02
11-3021.00,Consulting Technical Director,,10
11-3021.00,Cyber Workforce Manager,,01
11-3021.00,Cybersecurity All-Source Collection Manager,,01
11-3021.00,Cybersecurity All-Source Collection Requirements Manager,,01
11-3021.00,Data Center Manager,,09
11-3021.00,Data Operations Director,,"02,04"
11-3021.00,Data Processing Manager,,"02,04,06,07,08"
11-3021.00,Data Systems Manager,,"04,06,07"
11-3021.00,Development Manager,,"02,08"
11-3021.00,Enterprise Architecture Director,,10
11-3021.00,Enterprise Architecture Manager,,10
11-3021.00,Information Security Manager,,"02,09"
11-3021.00,Information Services Manager,,09
11-3021.00,Information Support Project Manager,,01
11-3021.00,Information Systems Administrator,,09
11-3021.00,Information Systems Director (IS Director),IS Director,"02,04"
11-3021.00,Information Systems Manager (IS Manager),IS Manager,"02,04,06,07"
11-3021.00,Information Systems Operator,,01
11-3021.00,Information Systems Supervisor (IS Supervisor),IS Supervisor,02
11-3021.00,Information Technology Account Manager (IT Account Manager),IT Account Manager,03
11-3021.00,Information Technology Administrator (IT Administrator),IT Administrator,09
11-3021.00,Information Technology Coordinator (IT Coordinator),IT Coordinator,"02,08"
11-3021.00,Information Technology Director (IT Director),IT Director,"02,04,09,10"
11-3021.00,Information Technology Manager (IT Manager),IT Manager,02
11-3021.00,Information Technology Systems Director (ITS Director),ITS Director,"02,04"
11-3021.00,Interactive Media Project Manager,,01
11-3021.00,Internet and E-Business Project Manager,,01
11-3021.00,Internet Technology Manager,,"04,06,07"
11-3021.00,IT Portfolio Manager (Information Technology Portfolio Manager),IT Portfolio Manager,01
11-3021.00,Knowledge Manager,,09
11-3021.00,MIS Director (Management Information Systems Director),MIS Director,"02,04"
11-3021.00,Network Director,,"04,06,07"
11-3021.00,Network Manager,,"04,06,07"
11-3021.00,Product Solutions Manager,,10
11-3021.00,Product Support Manager,,01
11-3021.00,Programming and Software Development Project Manager,,01
11-3021.00,Software Development Director,,10
11-3021.00,Software Engineering Director,,"02,10"
11-3021.00,Software Project Manager,,09
11-3021.00,System Development Manager,,01
11-3021.00,Systems Development Manager,,"04,06,07"
11-3021.00,Systems Engineering Manager,,10
11-3021.00,Systems Tester Administrator,,01
11-3021.00,Technical Director,,10
11-3021.00,Technical Services Manager,,"01,02"
11-3021.00,Technical Solutions Director,,08
11-3021.00,Technical Support Content Manager,,01
11-3021.00,Technology Director,,"02,08,10"
11-3031.00,Accountant Supervisor,,08
11-3031.00,Accounting Director,,08
11-3031.00,Accounting Manager,,"08,10"
11-3031.00,Accounting Supervisor,,"02,08"
11-3031.00,Accounts Manager,,08
11-3031.00,Accounts Supervisor,,08
11-3031.00,Actuarial Manager,,08
11-3031.00,Asset Manager,,08
11-3031.00,ATM Manager (Automated Teller Machine Manager),ATM Manager,08
11-3031.00,Auditing Manager,,08
11-3031.00,Auditor Supervisor,,08
11-3031.00,Bank Branch Manager,,"02,04,08"
11-3031.00,Bank Manager,,08
11-3031.00,Banking Branch Manager,,04
11-3031.00,Banking Center Manager (BCM),BCM,"02,04,08"
11-3031.00,Banking Manager,,"04,08"
11-3031.00,Banking Supervisor,,08
11-3031.00,Branch Manager,,"02,10"
11-3031.00,Budget Manager,,08
11-3031.00,Business Banking Manager,,02
11-3031.00,Cash Manager,,08
11-3031.00,City Comptroller,,"04,08"
11-3031.00,Collections Manager,,08
11-3031.00,Comptroller,,"04,08"
11-3031.00,Cost Accounting Manager,,08
11-3031.00,Credit Administration Manager,,02
11-3031.00,Credit and Collection Manager,,08
11-3031.00,Credit Department Manager,,08
11-3031.00,Credit Manager,,"02,04,08"
11-3031.00,Credit Office Manager,,08
11-3031.00,Credit Union Manager,,08
11-3031.00,Exchange Floor Manager,,08
11-3031.00,Finance Director,,08
11-3031.00,Finance Manager,,"08,10"
11-3031.00,Financial Center Manager,,02
11-3031.00,Financial Director,,"04,08"
11-3031.00,Financial Institution Branch Manager,,08
11-3031.00,Financial Institution Manager,,08
11-3031.00,Financial Manager,,08
11-3031.00,Financial Officer,,04
11-3031.00,Financial Planning Manager,,02
11-3031.00,Financial Reporting Manager,,02
11-3031.00,Financial Supervisor,,08
11-3031.00,Financial Systems Manager,,02
11-3031.00,Fiscal Manager,,"04,08"
11-3031.00,International Bank Manager,,"04,08"
11-3031.00,Investment Manager,,08
11-3031.00,Paymaster,,08
11-3031.00,Reimbursement Director,,08
11-3031.00,Residential Mortgage Manager,,"04,08"
11-3031.00,Risk and Insurance Manager,,08
11-3031.00,Risk Management Director,,08
11-3031.00,Tax Director,,08
11-3031.00,Tax Manager,,"08,10"
11-3031.01,City Comptroller,,"04,06"
11-3031.01,City Controller,,"04,06"
11-3031.01,City Treasurer,,"04,06"
11-3031.01,Comptroller,,"02,04,06,08"
11-3031.01,Controller,,"02,04,08,09,10"
11-3031.01,Corporate Controller,,"02,08,10"
11-3031.01,Corporate Treasurer,,02
11-3031.01,Cost Controller,,09
11-3031.01,County Treasurer,,"04,06"
11-3031.01,Financial Controller,,10
11-3031.01,Financial Engineer,,09
11-3031.01,Financial Institution Treasurer,,08
11-3031.01,Financial Officer,,"04,06"
11-3031.01,Financier,,"04,06"
11-3031.01,Plant Controller,,"09,10"
11-3031.01,Production Controller,,10
11-3031.01,Project Controller,,10
11-3031.01,Regional Controller,,02
11-3031.01,School Treasurer,,"02,08"
11-3031.01,State Comptroller,,"04,06"
11-3031.01,Treasurer,,"02,04,06,08"
11-3031.01,Treasury Consultant,,02
11-3031.01,Trust Officer,,"04,06"
11-3031.03,Asset Manager,,08
11-3031.03,Financial Planning and Analysis Finance Manager,,10
11-3031.03,Financial Planning and Analysis Manager,,10
11-3031.03,Financial Planning Director,,10
11-3031.03,Financial Planning Manager,,10
11-3031.03,Fixed Income Portfolio Manager,,02
11-3031.03,Fixed Income Vice President (Fixed Income VP),Fixed Income VP,02
11-3031.03,Hedge Fund Manager,,"08,09"
11-3031.03,Institutional Asset Manager,,08
11-3031.03,Investment Analysis Vice President (Investment Analysis VP),Investment Analysis VP,02
11-3031.03,Investment Fund Manager,,08
11-3031.03,Investments Manager,,08
11-3031.03,Mutual Fund Manager,,08
11-3031.03,Pension Fund Manager,,08
11-3031.03,Portfolio Manager,,"02,08"
11-3051.00,Area Plant Manager,,02
11-3051.00,Assembly Manager,,02
11-3051.00,Bulk Plant Manager,,08
11-3051.00,Car Construction Superintendent,,08
11-3051.00,Concrete Mixing Plant Superintendent,,08
11-3051.00,Correctional Facility Industries Superintendent,,08
11-3051.00,Factory Manager,,08
11-3051.00,Factory Superintendent,,08
11-3051.00,Food Processing Plant Manager,,08
11-3051.00,Food Production Manager,,08
11-3051.00,Gas Operations Manager,,08
11-3051.00,Gas Operations Superintendent,,08
11-3051.00,General Milling Superintendent,,08
11-3051.00,General Production Manager,,02
11-3051.00,Industrial Production Manager,,"02,04,08"
11-3051.00,Manufacturing Coordinator,,02
11-3051.00,Manufacturing Department Manager,,08
11-3051.00,Manufacturing Director,,"04,08"
11-3051.00,Manufacturing Manager,,"02,10"
11-3051.00,Manufacturing Operations Manager,,10
11-3051.00,Manufacturing Planner,,08
11-3051.00,Manufacturing Production Manager,,10
11-3051.00,Manufacturing Project Manager,,10
11-3051.00,Materials Coordinator,,08
11-3051.00,Materials Planner,,08
11-3051.00,Plant Chief,,04
11-3051.00,Plant General Manager (Plant GM),Plant GM,08
11-3051.00,Plant Manager,,"02,04"
11-3051.00,Plant Superintendent,,"04,08"
11-3051.00,Product Line Manager,,02
11-3051.00,Production Control Manager,,"02,04"
11-3051.00,Production Control Supervisor,,08
11-3051.00,Production Foreman,,08
11-3051.00,Production Manager,,"02,10"
11-3051.00,Production Managing Supervisor,,08
11-3051.00,Production Shift Manager,,10
11-3051.00,Production Superintendent,,08
11-3051.00,Quality Assurance Manager (QA Manager),QA Manager,"08,10"
11-3051.00,Quality Assurance Supervisor (QA Supervisor),QA Supervisor,"08,10"
11-3051.00,Quality Control Manager (QC Manager),QC Manager,"02,08,10"
11-3051.00,Quality Manager,,"02,08,10"
11-3051.00,Quality Supervisor,,"08,10"
11-3051.00,Sawmill Manager,,08
11-3051.00,Sub Plant Manager,,02
11-3051.00,Value Stream Manager,,10
11-3051.00,Vinous Liquor Wine Maker,,08
