onetsoc_code,sector,percent
11-3031.00,NAICS31_33,0.0
11-3031.00,NAICS21,0.0
11-3031.00,NAICS81,0.0
11-3031.00,NAICS92,0.0
11-3031.00,NAICS53,0.0
11-3031.00,NAICS44_45,0.0
11-3031.00,NAICS48_49,0.0
11-3031.00,NAICS00,0.0
11-3031.00,NAICS22,0.0
11-3031.00,NAICS42,0.0
11-3031.03,NAICS52,100.0
11-3031.03,NAICS72,0.0
11-3031.03,NAICS56,0.0
11-3031.03,NAICS11,0.0
11-3031.03,NAICS71,0.0
11-3031.03,NAICS23,0.0
11-3031.03,NAICS61,0.0
11-3031.03,NAICS62,0.0
11-3031.03,NAICS51,0.0
11-3031.03,NAICS55,0.0
11-3031.03,NAICS31_33,0.0
11-3031.03,NAICS21,0.0
11-3031.03,NAICS81,0.0
11-3031.03,NAICS54,0.0
11-3031.03,NAICS92,0.0
11-3031.03,NAICS53,0.0
11-3031.03,NAICS44_45,0.0
11-3031.03,NAICS48_49,0.0
11-3031.03,NAICS00,0.0
11-3031.03,NAICS22,0.0
11-3031.03,NAICS42,0.0
11-3051.00,NAICS31_33,100.0
11-3051.00,NAICS72,0.0
11-3051.00,NAICS56,0.0
11-3051.00,NAICS11,0.0
11-3051.00,NAICS71,0.0
11-3051.00,NAICS23,0.0
11-3051.00,NAICS61,0.0
11-3051.00,NAICS52,0.0
11-3051.00,NAICS62,0.0
11-3051.00,NAICS51,0.0
11-3051.00,NAICS55,0.0
11-3051.00,NAICS21,0.0
11-3051.00,NAICS81,0.0
11-3051.00,NAICS54,0.0
11-3051.00,NAICS92,0.0
11-3051.00,NAICS53,0.0
11-3051.00,NAICS44_45,0.0
11-3051.00,NAICS48_49,0.0
11-3051.00,NAICS00,0.0
11-3051.00,NAICS22,0.0
11-3051.00,NAICS42,0.0
11-3051.01,NAICS31_33,98.3
11-3051.01,NAICS54,1.7
11-3051.01,NAICS72,0.0
11-3051.01,NAICS56,0.0
11-3051.01,NAICS11,0.0
11-3051.01,NAICS71,0.0
11-3051.01,NAICS23,0.0
11-3051.01,NAICS61,0.0
11-3051.01,NAICS52,0.0
11-3051.01,NAICS62,0.0
11-3051.01,NAICS51,0.0
11-3051.01,NAICS55,0.0
11-3051.01,NAICS21,0.0
11-3051.01,NAICS81,0.0
11-3051.01,NAICS92,0.0
11-3051.01,NAICS53,0.0
11-3051.01,NAICS44_45,0.0
11-3051.01,NAICS48_49,0.0
11-3051.01,NAICS00,0.0
11-3051.01,NAICS22,0.0
11-3051.01,NAICS42,0.0
11-3051.02,NAICS22,65.4
11-3051.02,NAICS31_33,25.0
11-3051.02,NAICS23,9.6
11-3051.02,NAICS72,0.0
11-3051.02,NAICS56,0.0
11-3051.02,NAICS11,0.0
11-3051.02,NAICS71,0.0
11-3051.02,NAICS61,0.0
11-3051.02,NAICS52,0.0
11-3051.02,NAICS62,0.0
11-3051.02,NAICS51,0.0
11-3051.02,NAICS55,0.0
11-3051.02,NAICS21,0.0
11-3051.02,NAICS81,0.0
11-3051.02,NAICS54,0.0
11-3051.02,NAICS92,0.0
11-3051.02,NAICS53,0.0
11-3051.02,NAICS44_45,0.0
11-3051.02,NAICS48_49,0.0
11-3051.02,NAICS00,0.0
11-3051.02,NAICS42,0.0
11-3051.03,NAICS31_33,90.8
11-3051.03,NAICS11,3.1
11-3051.03,NAICS56,1.5
11-3051.03,NAICS23,1.5
11-3051.03,NAICS44_45,1.5
11-3051.03,NAICS42,1.5
11-3051.03,NAICS72,0.0
11-3051.03,NAICS71,0.0
11-3051.03,NAICS61,0.0
11-3051.03,NAICS52,0.0
11-3051.03,NAICS62,0.0
11-3051.03,NAICS51,0.0
11-3051.03,NAICS55,0.0
11-3051.03,NAICS21,0.0
11-3051.03,NAICS81,0.0
11-3051.03,NAICS54,0.0
11-3051.03,NAICS92,0.0
11-3051.03,NAICS53,0.0
11-3051.03,NAICS48_49,0.0
11-3051.03,NAICS00,0.0
11-3051.03,NAICS22,0.0
11-3051.04,NAICS22,64.5
11-3051.04,NAICS31_33,21.0
11-3051.04,NAICS92,4.8
11-3051.04,NAICS23,3.2
11-3051.04,NAICS61,1.6
11-3051.04,NAICS81,1.6
11-3051.04,NAICS54,1.6
11-3051.04,NAICS44_45,1.6
11-3051.04,NAICS72,0.0
11-3051.04,NAICS56,0.0
11-3051.04,NAICS11,0.0
11-3051.04,NAICS71,0.0
11-3051.04,NAICS52,0.0
11-3051.04,NAICS62,0.0
11-3051.04,NAICS51,0.0
11-3051.04,NAICS55,0.0
11-3051.04,NAICS21,0.0
11-3051.04,NAICS53,0.0
11-3051.04,NAICS48_49,0.0
11-3051.04,NAICS00,0.0
11-3051.04,NAICS42,0.0
11-3051.06,NAICS22,68.6
11-3051.06,NAICS92,22.1
11-3051.06,NAICS54,8.1
11-3051.06,NAICS31_33,1.2
11-3051.06,NAICS72,0.0
11-3051.06,NAICS56,0.0
11-3051.06,NAICS11,0.0
11-3051.06,NAICS71,0.0
11-3051.06,NAICS23,0.0
11-3051.06,NAICS61,0.0
11-3051.06,NAICS52,0.0
11-3051.06,NAICS62,0.0
11-3051.06,NAICS51,0.0
11-3051.06,NAICS55,0.0
11-3051.06,NAICS21,0.0
11-3051.06,NAICS81,0.0
11-3051.06,NAICS53,0.0
11-3051.06,NAICS44_45,0.0
11-3051.06,NAICS48_49,0.0
11-3051.06,NAICS00,0.0
11-3051.06,NAICS42,0.0
11-9031.00,NAICS62,97.8
11-9031.00,NAICS61,2.2
11-9031.00,NAICS72,0.0
11-9031.00,NAICS56,0.0
11-9031.00,NAICS11,0.0
11-9031.00,NAICS71,0.0
11-9031.00,NAICS23,0.0
11-9031.00,NAICS52,0.0
11-9031.00,NAICS51,0.0
11-9031.00,NAICS55,0.0
11-9031.00,NAICS31_33,0.0
11-9031.00,NAICS21,0.0
11-9031.00,NAICS81,0.0
11-9031.00,NAICS54,0.0
11-9031.00,NAICS92,0.0
11-9031.00,NAICS53,0.0
11-9031.00,NAICS44_45,0.0
11-9031.00,NAICS48_49,0.0
11-9031.00,NAICS00,0.0
11-9031.00,NAICS22,0.0
11-9031.00,NAICS42,0.0
11-9032.00,NAICS61,100.0
11-9032.00,NAICS72,0.0
11-9032.00,NAICS56,0.0
11-9032.00,NAICS11,0.0
11-9032.00,NAICS71,0.0
11-9032.00,NAICS23,0.0
11-9032.00,NAICS52,0.0
11-9032.00,NAICS62,0.0
11-9032.00,NAICS51,0.0
11-9032.00,NAICS55,0.0
11-9032.00,NAICS31_33,0.0
11-9032.00,NAICS21,0.0
11-9032.00,NAICS81,0.0
11-9032.00,NAICS54,0.0
11-9032.00,NAICS92,0.0
11-9032.00,NAICS53,0.0
11-9032.00,NAICS44_45,0.0
11-9032.00,NAICS48_49,0.0
11-9032.00,NAICS00,0.0
11-9032.00,NAICS22,0.0
11-9032.00,NAICS42,0.0
11-9033.00,NAICS61,100.0
11-9033.00,NAICS72,0.0
11-9033.00,NAICS56,0.0
11-9033.00,NAICS11,0.0
11-9033.00,NAICS71,0.0
11-9033.00,NAICS23,0.0
11-9033.00,NAICS52,0.0
11-9033.00,NAICS62,0.0
11-9033.00,NAICS51,0.0
11-9033.00,NAICS55,0.0
11-9033.00,NAICS31_33,0.0
11-9033.00,NAICS21,0.0
11-9033.00,NAICS81,0.0
11-9033.00,NAICS54,0.0
11-9033.00,NAICS92,0.0
11-9033.00,NAICS53,0.0
11-9033.00,NAICS44_45,0.0
11-9033.00,NAICS48_49,0.0
11-9033.00,NAICS00,0.0
11-9033.00,NAICS22,0.0
11-9033.00,NAICS42,0.0
11-9041.00,NAICS31_33,68.3
11-9041.00,NAICS54,15.0
11-9041.00,NAICS21,8.3
11-9041.00,NAICS92,8.3
11-9041.00,NAICS72,0.0
11-9041.00,NAICS56,0.0
11-9041.00,NAICS11,0.0
11-9041.00,NAICS71,0.0
11-9041.00,NAICS23,0.0
11-9041.00,NAICS61,0.0
11-9041.00,NAICS52,0.0
11-9041.00,NAICS62,0.0
11-9041.00,NAICS51,0.0
11-9041.00,NAICS55,0.0
11-9041.00,NAICS81,0.0
11-9041.00,NAICS53,0.0
11-9041.00,NAICS44_45,0.0
11-9041.00,NAICS48_49,0.0
11-9041.00,NAICS00,0.0
11-9041.00,NAICS22,0.0
11-9041.00,NAICS42,0.0
11-9041.01,NAICS31_33,77.0
11-9041.01,NAICS54,11.0
11-9041.01,NAICS52,4.0
11-9041.01,NAICS92,3.0
11-9041.01,NAICS42,3.0
11-9041.01,NAICS61,1.0
11-9041.01,NAICS44_45,1.0
11-9041.01,NAICS72,0.0
11-9041.01,NAICS56,0.0
11-9041.01,NAICS11,0.0
11-9041.01,NAICS71,0.0
11-9041.01,NAICS23,0.0
11-9041.01,NAICS62,0.0
11-9041.01,NAICS51,0.0
11-9041.01,NAICS55,0.0
11-9041.01,NAICS21,0.0
11-9041.01,NAICS81,0.0
11-9041.01,NAICS53,0.0
11-9041.01,NAICS48_49,0.0
11-9041.01,NAICS00,0.0
11-9041.01,NAICS22,0.0
11-9051.00,NAICS72,49.5
11-9051.00,NAICS62,25.3
11-9051.00,NAICS71,11.0
11-9051.00,NAICS61,9.9
11-9051.00,NAICS44_45,3.3
11-9051.00,NAICS92,1.1
11-9051.00,NAICS56,0.0
11-9051.00,NAICS11,0.0
11-9051.00,NAICS23,0.0
11-9051.00,NAICS52,0.0
11-9051.00,NAICS51,0.0
11-9051.00,NAICS55,0.0
11-9051.00,NAICS31_33,0.0
11-9051.00,NAICS21,0.0
11-9051.00,NAICS81,0.0
11-9051.00,NAICS54,0.0
11-9051.00,NAICS53,0.0
11-9051.00,NAICS48_49,0.0
11-9051.00,NAICS00,0.0
11-9051.00,NAICS22,0.0
11-9051.00,NAICS42,0.0
11-9071.00,NAICS72,64.5
11-9071.00,NAICS71,34.2
11-9071.00,NAICS92,1.3
11-9071.00,NAICS56,0.0
11-9071.00,NAICS11,0.0
11-9071.00,NAICS23,0.0
11-9071.00,NAICS61,0.0
11-9071.00,NAICS52,0.0
11-9071.00,NAICS62,0.0
11-9071.00,NAICS51,0.0
11-9071.00,NAICS55,0.0
11-9071.00,NAICS31_33,0.0
11-9071.00,NAICS21,0.0
11-9071.00,NAICS81,0.0
11-9071.00,NAICS54,0.0
11-9071.00,NAICS53,0.0
11-9071.00,NAICS44_45,0.0
11-9071.00,NAICS48_49,0.0
11-9071.00,NAICS00,0.0
11-9071.00,NAICS22,0.0
11-9071.00,NAICS42,0.0
11-9081.00,NAICS72,100.0
11-9081.00,NAICS56,0.0
11-9081.00,NAICS11,0.0
11-9081.00,NAICS71,0.0
11-9081.00,NAICS23,0.0
11-9081.00,NAICS61,0.0
11-9081.00,NAICS52,0.0
11-9081.00,NAICS62,0.0
11-9081.00,NAICS51,0.0
11-9081.00,NAICS55,0.0
11-9081.00,NAICS31_33,0.0
11-9081.00,NAICS21,0.0
11-9081.00,NAICS81,0.0
11-9081.00,NAICS54,0.0
11-9081.00,NAICS92,0.0
11-9081.00,NAICS53,0.0
11-9081.00,NAICS44_45,0.0
11-9081.00,NAICS48_49,0.0
11-9081.00,NAICS00,0.0
11-9081.00,NAICS22,0.0
11-9081.00,NAICS42,0.0
11-9121.00,NAICS92,52.1
11-9121.00,NAICS54,28.2
11-9121.00,NAICS31_33,19.7
11-9121.00,NAICS72,0.0
11-9121.00,NAICS56,0.0
11-9121.00,NAICS11,0.0
11-9121.00,NAICS71,0.0
11-9121.00,NAICS23,0.0
11-9121.00,NAICS61,0.0
11-9121.00,NAICS52,0.0
11-9121.00,NAICS62,0.0
11-9121.00,NAICS51,0.0
11-9121.00,NAICS55,0.0
11-9121.00,NAICS21,0.0
11-9121.00,NAICS81,0.0
11-9121.00,NAICS53,0.0
11-9121.00,NAICS44_45,0.0
11-9121.00,NAICS48_49,0.0
11-9121.00,NAICS00,0.0
11-9121.00,NAICS22,0.0
11-9121.00,NAICS42,0.0
11-9121.01,NAICS54,69.8
11-9121.01,NAICS62,17.0
11-9121.01,NAICS31_33,13.2
11-9121.01,NAICS72,0.0
11-9121.01,NAICS56,0.0
11-9121.01,NAICS11,0.0
11-9121.01,NAICS71,0.0
11-9121.01,NAICS23,0.0
11-9121.01,NAICS61,0.0
11-9121.01,NAICS52,0.0
11-9121.01,NAICS51,0.0
11-9121.01,NAICS55,0.0
11-9121.01,NAICS21,0.0
11-9121.01,NAICS81,0.0
11-9121.01,NAICS92,0.0
11-9121.01,NAICS53,0.0
11-9121.01,NAICS44_45,0.0
11-9121.01,NAICS48_49,0.0
11-9121.01,NAICS00,0.0
11-9121.01,NAICS22,0.0
11-9121.01,NAICS42,0.0
11-9131.00,NAICS48_49,100.0
11-9131.00,NAICS72,0.0
11-9131.00,NAICS56,0.0
11-9131.00,NAICS11,0.0
11-9131.00,NAICS71,0.0
11-9131.00,NAICS23,0.0
11-9131.00,NAICS61,0.0
11-9131.00,NAICS52,0.0
11-9131.00,NAICS62,0.0
11-9131.00,NAICS51,0.0
11-9131.00,NAICS55,0.0
11-9131.00,NAICS31_33,0.0
11-9131.00,NAICS21,0.0
11-9131.00,NAICS81,0.0
11-9131.00,NAICS54,0.0
11-9131.00,NAICS92,0.0
11-9131.00,NAICS53,0.0
11-9131.00,NAICS44_45,0.0
11-9131.00,NAICS00,0.0
11-9131.00,NAICS22,0.0
11-9131.00,NAICS42,0.0
11-9151.00,NAICS62,70.8
11-9151.00,NAICS92,19.4
11-9151.00,NAICS81,9.7
11-9151.00,NAICS72,0.0
11-9151.00,NAICS56,0.0
11-9151.00,NAICS11,0.0
11-9151.00,NAICS71,0.0
11-9151.00,NAICS23,0.0
11-9151.00,NAICS61,0.0
11-9151.00,NAICS52,0.0
11-9151.00,NAICS51,0.0
11-9151.00,NAICS55,0.0
11-9151.00,NAICS31_33,0.0
11-9151.00,NAICS21,0.0
11-9151.00,NAICS54,0.0
11-9151.00,NAICS53,0.0
11-9151.00,NAICS44_45,0.0
11-9151.00,NAICS48_49,0.0
11-9151.00,NAICS00,0.0
11-9151.00,NAICS22,0.0
11-9151.00,NAICS42,0.0
11-9171.00,NAICS81,100.0
11-9171.00,NAICS72,0.0
11-9171.00,NAICS56,0.0
11-9171.00,NAICS11,0.0
11-9171.00,NAICS71,0.0
11-9171.00,NAICS23,0.0
11-9171.00,NAICS61,0.0
11-9171.00,NAICS52,0.0
11-9171.00,NAICS62,0.0
11-9171.00,NAICS51,0.0
11-9171.00,NAICS55,0.0
11-9171.00,NAICS31_33,0.0
11-9171.00,NAICS21,0.0
11-9171.00,NAICS54,0.0
11-9171.00,NAICS92,0.0
11-9171.00,NAICS53,0.0
11-9171.00,NAICS44_45,0.0
11-9171.00,NAICS48_49,0.0
11-9171.00,NAICS00,0.0
11-9171.00,NAICS22,0.0
11-9171.00,NAICS42,0.0
11-9179.02,NAICS71,39.0
11-9179.02,NAICS81,16.9
11-9179.02,NAICS52,8.5
11-9179.02,NAICS72,6.8
11-9179.02,NAICS56,5.1
11-9179.02,NAICS54,5.1
11-9179.02,NAICS44_45,5.1
11-9179.02,NAICS92,3.4
11-9179.02,NAICS53,3.4
11-9179.02,NAICS48_49,3.4
11-9179.02,NAICS23,1.7
11-9179.02,NAICS62,1.7
11-9179.02,NAICS11,0.0
11-9179.02,NAICS61,0.0
11-9179.02,NAICS51,0.0
11-9179.02,NAICS55,0.0
11-9179.02,NAICS31_33,0.0
11-9179.02,NAICS21,0.0
11-9179.02,NAICS00,0.0
11-9179.02,NAICS22,0.0
11-9179.02,NAICS42,0.0
11-9199.02,NAICS92,36.4
11-9199.02,NAICS52,18.2
11-9199.02,NAICS31_33,18.2
11-9199.02,NAICS23,10.4
11-9199.02,NAICS62,6.5
11-9199.02,NAICS56,2.6
11-9199.02,NAICS51,1.3
11-9199.02,NAICS21,1.3
11-9199.02,NAICS44_45,1.3
11-9199.02,NAICS48_49,1.3
11-9199.02,NAICS22,1.3
11-9199.02,NAICS42,1.3
11-9199.02,NAICS72,0.0
11-9199.02,NAICS11,0.0
11-9199.02,NAICS71,0.0
11-9199.02,NAICS61,0.0
11-9199.02,NAICS55,0.0
11-9199.02,NAICS81,0.0
11-9199.02,NAICS54,0.0
11-9199.02,NAICS53,0.0
11-9199.02,NAICS00,0.0
11-9199.09,NAICS22,75.8
11-9199.09,NAICS11,6.5
11-9199.09,NAICS54,6.5
11-9199.09,NAICS31_33,4.8
11-9199.09,NAICS23,3.2
11-9199.09,NAICS56,1.6
11-9199.09,NAICS42,1.6
11-9199.09,NAICS72,0.0
11-9199.09,NAICS71,0.0
11-9199.09,NAICS61,0.0
11-9199.09,NAICS52,0.0
11-9199.09,NAICS62,0.0
11-9199.09,NAICS51,0.0
11-9199.09,NAICS55,0.0
11-9199.09,NAICS21,0.0
11-9199.09,NAICS81,0.0
11-9199.09,NAICS92,0.0
11-9199.09,NAICS53,0.0
11-9199.09,NAICS44_45,0.0
11-9199.09,NAICS48_49,0.0
11-9199.09,NAICS00,0.0
11-9199.10,NAICS22,81.1
11-9199.10,NAICS23,7.5
11-9199.10,NAICS44_45,7.5
11-9199.10,NAICS31_33,1.9
11-9199.10,NAICS54,1.9
11-9199.10,NAICS72,0.0
11-9199.10,NAICS56,0.0
11-9199.10,NAICS11,0.0
11-9199.10,NAICS71,0.0
11-9199.10,NAICS61,0.0
11-9199.10,NAICS52,0.0
11-9199.10,NAICS62,0.0
11-9199.10,NAICS51,0.0
11-9199.10,NAICS55,0.0
11-9199.10,NAICS21,0.0
11-9199.10,NAICS81,0.0
11-9199.10,NAICS92,0.0
11-9199.10,NAICS53,0.0
11-9199.10,NAICS48_49,0.0
11-9199.10,NAICS00,0.0
11-9199.10,NAICS42,0.0
13-1011.00,NAICS71,100.0
13-1011.00,NAICS72,0.0
13-1011.00,NAICS56,0.0
13-1011.00,NAICS11,0.0
13-1011.00,NAICS23,0.0
13-1011.00,NAICS61,0.0
13-1011.00,NAICS52,0.0
13-1011.00,NAICS62,0.0
13-1011.00,NAICS51,0.0
13-1011.00,NAICS55,0.0
13-1011.00,NAICS31_33,0.0
13-1011.00,NAICS21,0.0
13-1011.00,NAICS81,0.0
13-1011.00,NAICS54,0.0
13-1011.00,NAICS92,0.0
13-1011.00,NAICS53,0.0
13-1011.00,NAICS44_45,0.0
13-1011.00,NAICS48_49,0.0
13-1011.00,NAICS00,0.0
13-1011.00,NAICS22,0.0
13-1011.00,NAICS42,0.0
13-1021.00,NAICS42,77.5
13-1021.00,NAICS31_33,22.5
13-1021.00,NAICS72,0.0
13-1021.00,NAICS56,0.0
13-1021.00,NAICS11,0.0
13-1021.00,NAICS71,0.0
13-1021.00,NAICS23,0.0
13-1021.00,NAICS61,0.0
13-1021.00,NAICS52,0.0
13-1021.00,NAICS62,0.0
13-1021.00,NAICS51,0.0
13-1021.00,NAICS55,0.0
13-1021.00,NAICS21,0.0
13-1021.00,NAICS81,0.0
13-1021.00,NAICS54,0.0
13-1021.00,NAICS92,0.0
13-1021.00,NAICS53,0.0
13-1021.00,NAICS44_45,0.0
13-1021.00,NAICS48_49,0.0
13-1021.00,NAICS00,0.0
13-1021.00,NAICS22,0.0
13-1022.00,NAICS42,69.5
13-1022.00,NAICS44_45,26.8
13-1022.00,NAICS72,3.7
13-1022.00,NAICS56,0.0
13-1022.00,NAICS11,0.0
13-1022.00,NAICS71,0.0
13-1022.00,NAICS23,0.0
13-1022.00,NAICS61,0.0
13-1022.00,NAICS52,0.0
13-1022.00,NAICS62,0.0
13-1022.00,NAICS51,0.0
13-1022.00,NAICS55,0.0
13-1022.00,NAICS31_33,0.0
13-1022.00,NAICS21,0.0
13-1022.00,NAICS81,0.0
13-1022.00,NAICS54,0.0
13-1022.00,NAICS92,0.0
13-1022.00,NAICS53,0.0
13-1022.00,NAICS48_49,0.0
13-1022.00,NAICS00,0.0
13-1022.00,NAICS22,0.0
13-1031.00,NAICS52,100.0
13-1031.00,NAICS72,0.0
13-1031.00,NAICS56,0.0
13-1031.00,NAICS11,0.0
13-1031.00,NAICS71,0.0
13-1031.00,NAICS23,0.0
13-1031.00,NAICS61,0.0
13-1031.00,NAICS62,0.0
13-1031.00,NAICS51,0.0
13-1031.00,NAICS55,0.0
13-1031.00,NAICS31_33,0.0
13-1031.00,NAICS21,0.0
13-1031.00,NAICS81,0.0
13-1031.00,NAICS54,0.0
13-1031.00,NAICS92,0.0
13-1031.00,NAICS53,0.0
13-1031.00,NAICS44_45,0.0
13-1031.00,NAICS48_49,0.0
13-1031.00,NAICS00,0.0
13-1031.00,NAICS22,0.0
13-1031.00,NAICS42,0.0
13-1032.00,NAICS52,100.0
13-1032.00,NAICS72,0.0
13-1032.00,NAICS56,0.0
13-1032.00,NAICS11,0.0
13-1032.00,NAICS71,0.0
13-1032.00,NAICS23,0.0
13-1032.00,NAICS61,0.0
13-1032.00,NAICS62,0.0
13-1032.00,NAICS51,0.0
13-1032.00,NAICS55,0.0
13-1032.00,NAICS31_33,0.0
13-1032.00,NAICS21,0.0
13-1032.00,NAICS81,0.0
13-1032.00,NAICS54,0.0
13-1032.00,NAICS92,0.0
13-1032.00,NAICS53,0.0
13-1032.00,NAICS44_45,0.0
13-1032.00,NAICS48_49,0.0
13-1032.00,NAICS00,0.0
13-1032.00,NAICS22,0.0
13-1032.00,NAICS42,0.0
13-1041.03,NAICS61,56.9
13-1041.03,NAICS92,42.2
13-1041.03,NAICS54,0.9
13-1041.03,NAICS72,0.0
13-1041.03,NAICS56,0.0
13-1041.03,NAICS11,0.0
13-1041.03,NAICS71,0.0
13-1041.03,NAICS23,0.0
13-1041.03,NAICS52,0.0
13-1041.03,NAICS62,0.0
13-1041.03,NAICS51,0.0
13-1041.03,NAICS55,0.0
13-1041.03,NAICS31_33,0.0
13-1041.03,NAICS21,0.0
13-1041.03,NAICS81,0.0
13-1041.03,NAICS53,0.0
13-1041.03,NAICS44_45,0.0
13-1041.03,NAICS48_49,0.0
13-1041.03,NAICS00,0.0
13-1041.03,NAICS22,0.0
13-1041.03,NAICS42,0.0
13-1041.04,NAICS92,100.0
13-1041.04,NAICS72,0.0
13-1041.04,NAICS56,0.0
13-1041.04,NAICS11,0.0
13-1041.04,NAICS71,0.0
13-1041.04,NAICS23,0.0
13-1041.04,NAICS61,0.0
13-1041.04,NAICS52,0.0
13-1041.04,NAICS62,0.0
13-1041.04,NAICS51,0.0
